confidence,end_seconds,local_path,primary_label_weak,recording_id,sha256,species_label,species_name_zh,start_seconds
0.813828,102.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,99.0
0.961855,105.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,102.0
0.143686,111.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,108.0
0.240754,114.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,111.0
0.768642,117.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,114.0
0.191205,120.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,117.0
0.717204,123.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,120.0
0.251248,126.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Copsychus saularis_Oriental Magpie-Robin,鹊鸲,123.0
0.800079,129.0,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Streptopelia chinensis_Spotted Dove,珠颈斑鸠,126.0
0.45143,131.875,D:\C\Desktop\ai\xykw\data\XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1).wav,珠颈斑鸠,XC1002930 - 珠颈斑鸠 - Spilopelia chinensis chinensis(1),9a577cf6614f66cada0a3864cfd970eecab09c7b523148f58ffd60d9722600b0,Turdus mandarinus_Chinese Blackbird,乌鸫,129.0
0.789746,6.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,3.0
0.527873,9.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,6.0
0.219739,12.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,9.0
0.535221,18.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,15.0
0.633814,21.0,D:\C\Desktop\ai\xykw\data\XC1106815 - 白头鹎 - Pycnonotus sinensis.mp3,白头鹎,XC1106815 - 白头鹎 - Pycnonotus sinensis,357be415e7d56677a30c62d4f1916a6707224831464e5b0b8510f07d8817ef9f,Pycnonotus sinensis_Light-vented Bulbul,白头鹎,18.0
